user_id,label,score,命中(超阈值),top3可疑位置(事件序号)
0xefaaf11522e77e5b98217fa22202af188b3d8b9b,0,0.3824,0,12 3 7
0xe5db5228245ac45f6ed463cbca7e5d48898d5ec3,0,0.8065,0,14 21 31
0x007c7fde27c67e78d1f7e29216f5694e44c3e18a,0,-0.5200,0,14 13 12
0xe9336903d3eedf60c49f391ab04e992ac1f3e315,0,-0.4268,0,6 7 5
0xf54ffd98cb91686af5303f0673c25e249f73f26a,0,-0.7465,0,10 12 9
0x50b5be665f52db86bbfcbca96df8c7061343fb68,0,0.3584,0,5 4 9
0x378eed56e1af43fa2170ba401aca2681033f2e8f,0,-0.6859,0,3 10 7
0xa5ec5771a841f299c8100c6c9f0cd38a0cfaba16,0,0.6650,0,3 10 8
0xc35c5a36a2afc4d0dd50551a32fc8f35c7b6417f,0,0.2872,0,2 0 1
0x5e0a3ecce3c880d61d0093b7e88690cd00904fd7,0,-0.7809,0,1 5 2
0xaab2eee79a64f93b4ff96f98657641ca00f23618,0,0.9921,0,2 0 8
0xa8908c4892f855b003dd103b6114aae0078a1f8b,0,-0.5686,0,109 118 125
0xd2ad99e18a7b4e1114600995a02820fa8a29b47e,0,-0.7719,0,3 8 5
0x3c9182740803b64324d4dcd2b2b0f7c6bfd319ec,0,-0.7150,0,4 10 9
0xa59d067610e62d1781bbe3bb7742bda422cb4650,0,-0.2533,0,6 0 2
0xc88c7d1a0848f903275541099c6c6f01bdedecc0,0,-0.8134,0,9 8 4
0x5c1a1c16c3e35271b4d0b56b0ab423e7a76e7fd5,0,0.1924,0,6 2 4
0x5409dd04d1b44d854a935a44414139711e1f5940,0,-0.8334,0,3 1 2
0x018ce202a3a9cb0a387d7011d9e6e264778f84d5,0,0.5005,0,11 12 7
0x4d6ae6e909e3b6838e47bcc3a1a51e1267c8f7ed,0,-0.5831,0,13 2 1
0x5b58770bb4d5795a5563d8607115ff4b51112096,0,0.1932,0,9 16 1
0x56075be0fccd0845b0b62280e06a78aa02c2c353,0,-0.5424,0,1 0 2
0xb65c14540a57e7eaf0303c6040bcfa096ea5df12,0,-0.0942,0,18 12 4
0xa8c61c6ca38b794d1889939d6a43bbaa544759af,0,-0.7838,0,2 7 8
0x899ac704f8bf0c3419d2416abc75f53b569da72f,0,-0.6506,0,0 2 17
0x6b2744f57039b78bd8901a79c218bd6ac1fb0707,0,0.2128,0,65 68 64
0x25085748fb55aac35bb573de836f081277bea15d,0,-0.7423,0,8 3 6
0x982871e0dbaf78e3baf947ffc714cb186068c4bb,0,-0.7882,0,3 4 2
0x45e6b7db99352dfa36842f701314ec3c275bbd2d,0,-0.7747,0,8 1 5
0x033383aef43e92511deeaf14f89e629ca5a928ee,0,-0.1785,0,1 0 12
0xca887f1affec4670da37bdf2a8bdb32d706634f4,0,-0.6959,0,0 1 8
0x51d0fefea4f9ad302a2c176c6a68b8348db2ea06,0,-0.7866,0,5 11 2
0xba862824a3f5202a04a7ae6d7c9efa6b7b6c3f38,0,-0.8277,0,3 1 8
0xf43bdae3bc4940204502922327b821126268f869,0,-0.6584,0,7 20 24
0x8c2caaf0766018c2379228d110157ff36c350e15,0,-0.6039,0,4 18 11
0xad2c6c37b240f88b60e22c2f4a987aa843666d60,0,-0.7544,0,5 24 6
0x204bb853c54d83f199f257d6e3bdbc380dcd34aa,0,-0.2355,0,60 23 51
0x9266355756cf5c5d0aa41df29ed7c347439f235a,0,0.6771,0,44 61 19
0xa0945daf5313e7878763598a7975e8a86c45b129,0,-0.6580,0,24 28 20
0x9b0b876679e6076cf8005fdc68fa10355509b8e4,0,-0.2247,0,1 0 3
0xdb685e47b1c360d0c6d60e780dc904f6dd9c4491,0,-0.7909,0,16 4 18
0x40b3ee0567df89dcb7c1bc1fc105b2dab43dd456,0,0.0948,0,4 3 2
0x47f7e2ff5c0fa6f8704079b119d37efa355345da,0,-0.5508,0,0 1 3
0x77a065f85d21abbf5980a827a1d7e481ff81c878,0,-0.2785,0,33 37 38
0xc91392ed3da2fae381b7b20097abee2a0776aa8f,0,0.9979,0,42 17 28
0x75caf2c1dada20e4e2453ff9314983235216ffe4,0,-0.7650,0,10 9 8
0x40a5dac336791b4dd83583c59d89faf9b2258914,0,-0.7566,0,3 14 9
0xfa6572c369df62c2a8c7ba8743a58dc6ee35ea61,0,1.2613,0,33 15 78
0x578131bc85ba244eb67d10d25824b51b214f3178,0,1.2117,0,1 10 7
0xcd35f1486b8c4d020def1ea95619810f65fac3c4,0,-0.1798,0,1 17 2
0xbe81eae0166a3ade2a4b3e8554fea41a24bf1391,0,0.8303,0,7 0 8
0xd62559e4894f9148551770ad43169e2a42ab6707,0,0.5062,0,4 13 20
0xbb1d71e398a950ecffbb9090aa712aa6be07dfeb,0,-0.7758,0,10 1 3
